DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition,ans,att,acc
0.27025932,0.25608835,0.21111362,0.26253876,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
0.15797177,0.45789334,0.08791557,0.29621923,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
0.16586263,0.27623314,0.19422536,0.3636789,pp191_guess_ans0_att16_acc60.csv,191,guess,0,16,60
0.0015078405,0.8252323,0.0024097902,0.17085001,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.0021678777,0.8370449,0.0020902914,0.15869687,pp183_guess_ans0_att19_acc80.csv,183,guess,0,19,80
0.0018714019,0.0021409045,0.11303831,0.88294935,pp228_control_ans0_att20_acc76.csv,228,control,0,20,76
0.24824312,0.30470148,0.16391496,0.2831404,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
0.09792866,0.64055705,0.032109614,0.22940464,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
0.20687649,0.3323376,0.13081957,0.3299664,pp335_guess_ans0_att20_acc73.csv,335,guess,0,20,73
0.002282709,0.9548675,0.0027009232,0.040148858,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
0.001758845,0.046423726,0.0017913659,0.950026,pp253_guess_ans0_att19_acc64.csv,253,guess,0,19,64
0.007074294,0.7313677,0.019328639,0.24222934,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.0033292791,0.010954353,0.0326252,0.95309126,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
0.7722426,0.054980524,0.16196215,0.010814672,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
0.4543516,0.21259478,0.2208571,0.11219657,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
0.0014766941,0.86959577,0.0024689068,0.12645864,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
0.027654825,0.07103327,0.5649733,0.33633867,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
0.0017878725,0.8935656,0.0028481951,0.101798385,pp419_guess_ans0_att20_acc66.csv,419,guess,0,20,66
0.0015138317,0.8686679,0.0034167115,0.1264015,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.033200696,0.0051998813,0.8670454,0.09455398,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
0.01930591,0.0063483077,0.61857146,0.35577434,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
0.72305304,0.07089942,0.18264693,0.02340058,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
0.082714394,0.3814847,0.07111862,0.46468228,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
0.013000748,0.25479937,0.031276904,0.70092297,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
0.0021934588,0.9401514,0.0024652577,0.05518985,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
0.06518982,0.65519756,0.029595857,0.2500168,pp426_control_ans0_att20_acc85.csv,426,control,0,20,85
0.06279858,0.009020636,0.7931708,0.13500997,pp443_guess_ans0_att19_acc64.csv,443,guess,0,19,64
0.3963171,0.204168,0.23746574,0.16204917,pp218_control_ans0_att18_acc66.csv,218,control,0,18,66
0.10121961,0.6042764,0.14977169,0.14473231,pp325_guess_ans0_att20_acc75.csv,325,guess,0,20,75
0.0018407273,0.78723973,0.0026868086,0.20823276,pp349_guess_ans0_att20_acc82.csv,349,guess,0,20,82
0.045217205,0.45247465,0.033323914,0.46898422,pp304_control_ans0_att19_acc69.csv,304,control,0,19,69
0.0020419806,0.060386807,0.0035917584,0.9339794,pp225_guess_ans0_att20_acc93.csv,225,guess,0,20,93
0.0022167393,0.857792,0.004641274,0.13534999,pp174_control_ans0_att20_acc92.csv,174,control,0,20,92
0.0018176123,0.0020118146,0.41477028,0.5814003,pp210_control_ans0_att20_acc81.csv,210,control,0,20,81
0.2052465,0.07970161,0.41641346,0.29863846,pp246_control_ans0_att19_acc68.csv,246,control,0,19,68
0.0023927598,0.77266866,0.00285592,0.2220827,pp313_guess_ans0_att20_acc86.csv,313,guess,0,20,86
0.02621928,0.017609142,0.40844223,0.5477294,pp212_control_ans0_att20_acc64.csv,212,control,0,20,64
0.0031228024,0.8999167,0.0030726995,0.093887776,pp245_guess_ans0_att20_acc98.csv,245,guess,0,20,98
0.0013843763,0.3833174,0.0030351465,0.6122631,pp189_guess_ans0_att16_acc61.csv,189,guess,0,16,61
0.0015188473,0.7145817,0.0025700505,0.2813294,pp440_control_ans0_att20_acc93.csv,440,control,0,20,93
0.0013349279,0.0056656655,0.008379765,0.9846197,pp247_guess_ans0_att17_acc61.csv,247,guess,0,17,61
0.0023065382,0.4601956,0.0023640953,0.53513366,pp133_guess_ans0_att20_acc70.csv,133,guess,0,20,70
0.45363826,0.20556697,0.23857412,0.10222064,pp161_guess_ans0_att20_acc97.csv,161,guess,0,20,97
0.0011743484,0.88184214,0.0022930196,0.1146905,pp206_control_ans0_att20_acc79.csv,206,control,0,20,79
0.11699028,0.018183503,0.614286,0.2505402,pp125_guess_ans0_att20_acc83.csv,125,guess,0,20,83
0.40711516,0.31014314,0.14042366,0.14231801,pp166_control_ans0_att20_acc80.csv,166,control,0,20,80
0.32795924,0.15840444,0.29261675,0.22101954,pp180_control_ans0_att20_acc72.csv,180,control,0,20,72
0.0021894304,0.9361016,0.0027603994,0.058948632,pp264_control_ans0_att20_acc94.csv,264,control,0,20,94
0.0015210917,0.9041626,0.002568602,0.09174778,pp132_control_ans0_att18_acc69.csv,132,control,0,18,69
0.10099151,0.22624177,0.15289322,0.5198735,pp199_guess_ans0_att20_acc68.csv,199,guess,0,20,68
0.0020807246,0.6416511,0.0027354716,0.3535327,pp330_control_ans0_att18_acc59.csv,330,control,0,18,59
0.046656054,0.0843232,0.25023392,0.6187868,pp152_control_ans0_att20_acc60.csv,152,control,0,20,60
0.0021440994,0.0044356897,0.0044085262,0.98901165,pp379_guess_ans0_att19_acc74.csv,379,guess,0,19,74
0.46201017,0.21279958,0.22043726,0.10475301,pp341_guess_ans0_att20_acc69.csv,341,guess,0,20,69
0.0019746209,0.7356606,0.0026294126,0.25973535,pp297_guess_ans0_att19_acc69.csv,297,guess,0,19,69
0.0016966043,0.8982975,0.002658162,0.09734784,pp146_control_ans0_att17_acc61.csv,146,control,0,17,61
0.0014045597,0.2821603,0.002513831,0.71392137,pp408_control_ans0_att19_acc70.csv,408,control,0,19,70
0.30350587,0.023591315,0.6063491,0.06655369,pp236_control_ans0_att20_acc81.csv,236,control,0,20,81
0.14136717,0.028862089,0.56628,0.26349077,pp139_guess_ans0_att20_acc77.csv,139,guess,0,20,77
0.4653827,0.12226409,0.30604818,0.10630499,pp311_guess_ans0_att20_acc77.csv,311,guess,0,20,77
0.28292024,0.09102751,0.43885684,0.1871954,pp375_guess_ans0_att20_acc64.csv,375,guess,0,20,64
0.21368647,0.17762113,0.30552343,0.30316895,pp441_guess_ans0_att18_acc64.csv,441,guess,0,18,64
0.30536118,0.21378982,0.2701144,0.21073459,pp355_guess_ans0_att16_acc61.csv,355,guess,0,16,61
0.38297036,0.10506532,0.37816015,0.13380419,pp327_guess_ans0_att17_acc63.csv,327,guess,0,17,63
0.0026817808,0.038545113,0.010416322,0.94835687,pp162_control_ans0_att20_acc81.csv,162,control,0,20,81
0.037027728,0.7232514,0.01861208,0.22110887,pp130_control_ans0_att20_acc69.csv,130,control,0,20,69
0.09404397,0.34554043,0.08555853,0.47485703,pp244_control_ans0_att18_acc65.csv,244,control,0,18,65
0.0039681033,0.8872121,0.0031297498,0.105690084,pp234_control_ans0_att20_acc96.csv,234,control,0,20,96
0.004408232,0.0031104223,0.6090297,0.3834517,pp172_control_ans0_att20_acc78.csv,172,control,0,20,78
0.21933906,0.37197876,0.12140149,0.28728074,pp275_guess_ans0_att20_acc86.csv,275,guess,0,20,86
0.00242128,0.29603758,0.009310793,0.69223034,pp117_guess_ans0_att12_acc52.csv,117,guess,0,12,52
0.15203364,0.045286253,0.4597099,0.34297013,pp334_control_ans0_att20_acc76.csv,334,control,0,20,76
0.3082761,0.28299665,0.20020689,0.20852034,pp377_guess_ans0_att20_acc71.csv,377,guess,0,20,71
0.002547343,0.86686915,0.0029230127,0.12766044,pp352_control_ans0_att20_acc99.csv,352,control,0,20,99
0.39903444,0.023478981,0.53618217,0.0413044,pp397_guess_ans0_att20_acc70.csv,397,guess,0,20,70
0.0014795356,0.5341444,0.0025969828,0.46177906,pp155_guess_ans0_att20_acc70.csv,155,guess,0,20,70
0.0013143317,0.19377619,0.0024696377,0.8024399,pp372_control_ans0_att20_acc88.csv,372,control,0,20,88
0.65638953,0.06575451,0.24591172,0.031944226,pp388_control_ans0_att20_acc75.csv,388,control,0,20,75
0.0082068555,0.0044627665,0.7507538,0.23657653,pp157_guess_ans0_att14_acc57.csv,157,guess,0,14,57
0.0017943183,0.8618341,0.0035239297,0.13284765,pp306_control_ans0_att20_acc97.csv,306,control,0,20,97
0.41771394,0.2501481,0.17838302,0.15375498,pp447_guess_ans0_att20_acc87.csv,447,guess,0,20,87
0.08130367,0.042270817,0.25753716,0.6188883,pp353_guess_ans0_att20_acc75.csv,353,guess,0,20,75
